ObjectId	CatalogType	OfficialSource	TargetFile	Status
DisruptorWeaponLM	CEffectLaunchMissile	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/effectdata.xml	D:\MyWork\新建文件夹\mom.report.client\src\MyMod\crys_the_swarm_reborn.SC2Mod\原始mod\Mods\XM\XMFinal.SC2Mod\Base.SC2Data\GameData\EffectData.xml	added_or_newer_duplicate
DisruptorWeaponU	CEffectDamage	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/effectdata.xml	D:\MyWork\新建文件夹\mom.report.client\src\MyMod\crys_the_swarm_reborn.SC2Mod\原始mod\Mods\XM\XMFinal.SC2Mod\Base.SC2Data\GameData\EffectData.xml	added_or_newer_duplicate
DisruptorPsiBlast	CWeaponLegacy	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/weapondata.xml	D:\MyWork\新建文件夹\mom.report.client\src\MyMod\crys_the_swarm_reborn.SC2Mod\原始mod\Mods\XM\XMFinal.SC2Mod\Base.SC2Data\GameData\WeaponData.xml	added_or_newer_duplicate
